Track,Artist,SpotifyID,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness
Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,0,0.2,0.349,0,0.34,0.218,83.903,239836,-7.23
Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,1,0.04,0.331,0,0.135,0.341,145.038,231267,-5.804
Drip Too Hard,Lil Baby & Gunna,78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,1,0,0.292,0.0852,0,0.534,0.389,112.511,145543,-6.903
Sicko Mode,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,1,0.222,0.00513,0,0.124,0.446,155.008,312820,-3.714
Youngblood,5 Seconds Of Summer,2iUXsYOEPhVqEBwsqP70rE,0.596,0.854,7,0,0.463,0.0169,0,0.124,0.152,120.274,203418,-5.114
I Like It,Cardi ,58q2HKrzhC3ozto2nDdN4z,0.816,0.726,5,0,0.129,0.099,0,0.372,0.65,136.048,253390,-3.998
In My Feelings,Drake,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1,1,0.125,0.0589,0.00006,0.396,0.35,91.03,217925,-5.833
Natural,Imagine Dragons,2FY7b99s15jUprqC0M5NCT,0.704,0.611,2,1,0.0409,0.217,0,0.0812,0.22,100,189467,-6.112
Trip,Ella Mai,6CTWathupIiDs7U4InHnDA,0.477,0.61,11,0,0.144,0.225,0,0.107,0.358,79.882,213993,-5.628
I Love It,Kanye West & Lil Pump,4S8d14HvHb70ImctNgVzQQ,0.901,0.522,2,1,0.33,0.0114,0,0.259,0.329,104.053,127947,-8.304
Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,0.752,0.488,6,1,0.0705,0.297,0.00000911,0.0936,0.533,136.041,201661,-7.05
Nonstop,Drake,0TlLq3lA83rQOYtrqBqSct,0.912,0.412,7,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614,-8.074
Back To You,Selena Gomez,4hQ6UGyWQIGJmHSo0J88JW,0.601,0.724,6,1,0.0486,0.0945,0.00000168,0.12,0.508,102.061,207905,-4.856
God Is A Woman,Ariana Grande,67kQ3UW7saqCFqB54BVKKI,0.487,0.833,10,0,0.0698,0.145,0.00000822,0.961,0.371,144.915,213068,-5.199
Mo Bamba,Sheck Wes,1xzBco0xcoJEDXktl7Jxrr,0.729,0.625,4,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,-5.266
Close Friends,Lil Baby,5nzhL67GpF9szXWg5y509A,0.676,0.578,10,0,0.375,0.0509,0,0.0796,0.698,158.896,203881,-4.669
Uproar,Lil Wayne,3wScL5W8H40zzCKN0atfBk,0.743,0.87,1,1,0.212,0.0595,0,0.299,0.884,99.075,194184,-2.188
Delicate,Taylor Swift,6NFyWDv5CjfwuzoCkw47Xf,0.75,0.404,9,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,-10.178
High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,5,1,0.0618,0.193,0,0.064,0.681,82.014,190947,-2.729
Sad!,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,-4.88
Broken,lovelytheband,6XcfKZvJio9Z0fQy11GnNX,0.666,0.728,7,1,0.0419,0.00175,0.00000426,0.0429,0.51,122.996,204878,-5.808
I Like Me Better,Lauv,1wjzFQodRWrPcQ0AnYnvQ9,0.752,0.505,9,1,0.253,0.535,0.00000255,0.104,0.419,91.97,197437,-7.621
Always Remember Us This Way,Lady Gaga,2rbDhOo9Fh61Bbu23T2qCk,0.553,0.502,0,1,0.0409,0.299,0,0.764,0.296,129.976,210200,-5.972
Venom,Eminem,2SL6oP2YAEQbqsrkOzRGO4,0.749,0.794,0,1,0.064,0.0193,0,0.543,0.46,135.959,269554,-5.063
No Tears Left To Cry,Ariana Grande,2qT1uLXPVPzGgFOx4jtEuo,0.699,0.713,9,0,0.0594,0.04,0.00000311,0.294,0.354,121.993,205920,-5.507
The Middle,Zed,4szck0N8KowbQ9mWArDGO8,0.162,0.155,2,0,0.0431,0.939,0.54,0.117,0.144,130.513,265360,-16.212
Simple,Florida Georgia Line,4L9Ds4mpD3SuYoWwFUlv16,0.362,0.882,3,1,0.0973,0.0791,0,0.15,0.864,199.811,185200,-3.717
Tequila,Dan + Shay,42fw0rxRO2xbesF6mJfd4Y,0.489,0.581,11,1,0.0281,0.0312,0,0.132,0.494,86.016,196747,-5.731
She Got The Best Of Me,Luke Combs,698eQRku24PIYPQPHItKlA,0.533,0.907,11,1,0.0406,0.0292,0,0.386,0.7,150.99,183160,-3.793
