0,1,2,3,4,5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Sonora Santanera,Las Numero 1 De La Sonora Santanera,Amor De Cabaret,2016,TRAAADZ128F9348C2E,5JeyXbf7CrVQ8DqwFikN0P,0.699,0.519,8,-6.422,1,0.029,0.689,0.000471,0.935,0.676,102.463,183027
JennyAnyKind,I Need You,Young Boy Blues,2000,TRAAAVO128F93133D4,5uN6oY2NGLC6GKoywHKkZA,0.458,0.57,5,-9.159,0,0.0495,0.0000554,0.000768,0.0988,0.203,146.609,218907
Casual,Fear Itself,I Didn't Mean To,1994,TRAAAAW128F429D538,01TR6aAKrA2cI3Z0gnCOsu,0.751,0.549,6,-10.508,0,0.429,0.063,0.0000247,0.106,0.553,92.224,218933
Jeff And Sheri Easter,Ordinary Day,The Moon And I (Ordinary Day Album Version),2006,TRAAAMO128F1481E7F,7ERvcsBBYzSHqQQqlI9xAN,0.456,0.472,5,-8.328,1,0.0325,0.706,0.00000493,0.0833,0.286,147.565,267640
Tweeterfriendly Music,Gin & Phonic,Drop of Rain,2003,TRAAAPK128E0786D96,6dfppQDZQ4x3fCs6N89kV3,0.498,0.3,7,-10.716,1,0.0352,0.553,0.000116,0.0963,0.185,100.315,189560
Rated R,Da Ghetto Psychic,Keepin It Real (Skit),2003,TRAAAMQ128F1460CD3,0e4hF4Jxyh7cuwB2pMYhBh,0.683,0.173,1,-16.056,1,0.895,0.799,0,0.23,0.696,83.834,112947
Jimmy Wakely,1942-1952 Jimmy Wakely,Broken-Down Merry-Go-Round,2019,TRAABYN12903CFD305,0OeACzDjHCfFAC0VwSCv3C,0.591,0.19,1,-12.696,1,0.028,0.791,0,0.12,0.561,85.961,151173
lextrical,Whatever Happened To Boredom?,Synthetic Dream,2009,TRAABXG128F9318EBD,01rXKwe1sC4OJvI01BmhAL,0.583,0.589,0,-6.856,1,0.0298,0.621,0.89,0.139,0.277,138.339,168080
Alice Stuart,All The Good Times,Kassie Jones,2002,TRAABYW128F4244559,5IFHuCYpvtEyPfp2LS0bwF,0.581,0.413,11,-6.546,1,0.0325,0.511,0.000272,0.188,0.527,110.222,220800
Bob Azzam,Arrivederci,Auguri Cha Cha,2018,TRAABJL12903CDCF1A,0DiSk1STsEM5bVOQHBqB1N,0.699,0.44,6,-12.359,1,0.033,0.268,0.00033,0.294,0.909,137.358,191949
Andy Andy,Placer & Castigo,La Culpa,2019,TRAABDL12903CAABBA,4NPrFFGPfS4el9lbtC5gGZ,0.756,0.533,1,-7.128,0,0.178,0.111,0.000103,0.0709,0.874,176.042,199091
Faiz Ali Faiz,Panjtan Ka Ghulam,Sohna Nee Sohna Data,1994,TRAABRB128F9306DD5,3ukWqBHE8jIlRSKNP99I7X,0.569,0.876,6,-6.505,1,0.0426,0.308,0.152,0.472,0.931,99.325,599240
Elena,Un cafe_ setanta matins,Setanta matins,2009,TRAACCG128F92E8A55,1ZV1Ff9ebiB5pXpnC8Hfan,0.537,0.367,2,-6.547,1,0.0336,0.664,0.0455,0.0738,0.347,142.016,269351
John Wesley,The Emperor Falls,The Emperor Falls,1998,TRAACQT128F9331780,2dq9mEgzYTlz3GnZrkQM4Z,0.499,0.566,4,-15.365,0,0.0327,0.0000234,0.233,0.106,0.588,137.978,485000
Five Bolt Main,Live,Made Like This (Live),2016,TRAACHN128F1489601,6bswgr5zXEgDRfNytZeqzL,0.197,0.988,7,-5.486,1,0.28,0.00287,0.0000689,0.941,0.108,162.367,225093
Clp,Strictly Confidential,Superconfidential,2008,TRAACIW12903CC0F6D,5KZSRoDwhKYu2ermOEWBKo,0.839,0.865,1,-6.563,1,0.0519,0.235,0,0.106,0.711,117.981,253760
Jacob Young,Pieces Of Time,In A Subtle Way,1997,TRAADHS12903CE70A9,055muESTeShEPTRc1LS55R,0.532,0.174,6,-19.861,1,0.0382,0.797,0.841,0.108,0.628,90,459773
Despina Vandi,Profities,OUTE ENA EFHARISTO,2004,TRAADED128F42741FD,6NoLp6XUqOirwJbXtsvO03,0.579,0.641,8,-7.033,0,0.0605,0.745,0.000346,0.117,0.343,127.388,303373
Butthole Surfers,Piouhgd + Widowermaker!,"Barking Dogs (From ""Piouhgd"")",2007,TRAADDS128F425C68B,4RlRwnxwwLmsgwUN0PSKEe,0.21,0.897,2,-8.898,0,0.085,0.0437,0.681,0.362,0.121,130.473,450840
Vickie Winans,Classic Gold: Best of All,Make Me Over,2003,TRAAERU128F930674F,6kkWAhTJUjglrO2dyfgs9F,0.794,0.753,11,-8.927,0,0.0799,0.147,0,0.0666,0.689,107.988,231867
Edith Lefel,Jeux de dames_ vol. 1 (réalisation Ronald Rubinel),An ti chans',2003,TRAAEXM128F92D47C8,6omT9DqJGIxNCov39vah4k,0.66,0.949,0,-4.741,1,0.0458,0.0624,0.0943,0.213,0.911,102.005,277347
Yamandu Costa,Mafuá,Mafuá,2011,TRAAEDJ12903CCE390,4BcmPOnvvHLz4HP9alWXJq,0.477,0.332,2,-13.546,1,0.0384,0.945,0.88,0.108,0.829,106.04,191033
Suzanne Ciani,The Ultimate Most Relaxing New Age Piano in the Universe,Stream,1997,TRAAEOU128F9309DE0,7swrwaG4qfEts69IL0Ur4j,0.258,0.423,7,-13.771,1,0.0388,0.769,0.944,0.709,0.286,104.3,257040
Murskahumppa,Murskapunkkia,Ota kiinni,2009,TRAAFKJ12903D02552,6lf2srkPhBqC8yzZYeiWhI,0.254,0.614,7,-7.642,1,0.0373,0.000534,0.00000253,0.0865,0.287,127.527,285347
Taras,I Will Love Again,I Will Love Again (JJ's Club Radio),2006,TRAAFEB128F92F8694,0HvjwIVLZA23YsAfuQB1pm,0.606,0.887,3,-6.512,0,0.0291,0.000123,0.000908,0.352,0.757,127.996,200264
The Dirty Skirts,Daddy Don't Disco,Wake,2008,TRAAGXN128F92DE52C,2gSHfDQyQbFFX6ZkHgCzu7,0.531,0.933,0,-4.56,1,0.0395,0.0369,0.00711,0.339,0.555,141.889,207067
Hank Penny & The Lincoln Penny Orchestra,It's War Again,Dixie,2011,TRAAGUA128F93236E8,52wWjVg8rR2bbLjgY9ngvj,0.573,0.303,6,-15.125,0,0.0515,0.521,0.132,0.0628,0.66,121.268,128067
Borialis,What You Thought You Heard,Hourglass,2004,TRAAGVM128E0784D95,4BPY5xtNGUcZDzxDM0DpnU,0.485,0.94,2,-5.674,1,0.0507,0.000145,0,0.175,0.714,87.092,239267
Nadine Renee,Oasis of Love,Next Time,2000,TRAAGHM128EF35CF8E,6CiIoP99xfVW0FRSXhB7wk,0.596,0.591,2,-6.86,1,0.034,0.265,0,0.0974,0.28,84.031,249382
Flor Silvestre,15 Exitos Vol. 2 Flor Silvestre,Caricia Y Herida,1997,TRAAGZU128EF360F47,50tHPGywaRMpHONxL7bkZZ,0.756,0.49,4,-7.115,1,0.0297,0.849,0.00146,0.194,0.897,106.18,134769
Julien Clerc,Vendredi 13 - 1981,This Melody (Live),1997,TRAAGMJ12903CAD7D4,0eaWlnrNBi96s1kCmnikta,0.633,0.489,7,-10.798,1,0.0336,0.309,0,0.948,0.502,112.699,269267
Ellen McIlwaine,Spontanous Combustion,Spontanous Combustion,2001,TRAAHTH12903CCFFE1,6fvMUUffhEufTUNLc4uUHO,0.5,0.592,7,-6.146,1,0.0923,0.0465,0,0.182,0.757,133.523,277840
Sonny Simmons,Staying on the Watch,A Distant Voice,2010,TRAAHKE128F421389B,6Bt2xLOhOvoYLqj5xRltSs,0.282,0.011,0,-17.782,1,0.0447,0.823,0.11,0.0685,0.0791,138.701,442991
Bézu,Le top du père Nöel,Le tortillard,2009,TRAAHDH128F93094B6,5SeLcfEllntpLsQZjE27Je,0.704,0.967,2,-3.246,1,0.0438,0.097,0,0.314,0.905,126.98,286427
Richard Burton,Fifteen Poems By Dylan Thomas,I See The Boys Of Summer,2014,TRAAIFG12903CB0BCB,68iMc2cxaPkVm5oEHHqHqL,0.694,0.0373,7,-25.234,1,0.495,0.88,0,0.145,0.431,105.197,173726
Howard Armstrong,Louie Bluie Film Soundtrack,My Four Reasons,1998,TRAAIIE128F4288BB1,1DbMpBy570dOwInKptdZ9A,0.737,0.417,5,-12.997,1,0.19,0.788,0.00000564,0.362,0.931,126.955,198933
